hist_bin,dataset,n,m,args,remove_categorical,epsilon,final_trees,train_auc,test_auc,train_pr,test_pr,train_acc,test_acc,f1_score,training_time,avg_client_rounds_sent,std_client_rounds_sent,min_client_rounds_sent,max_client_rounds_set,total_client_rounds_sent,avg_client_rounds_received,std_client_rounds_received,min_client_rounds_received,max_client_rounds_received,total_client_rounds_received,avg_client_rounds_sent_payload,std_client_rounds_sent_payload,min_client_rounds_sent_payload,max_client_rounds_sent_payload,total_client_rounds_sent_payload,avg_client_rounds_received_payload,std_client_rounds_received_payload,min_client_rounds_received_payload,max_client_rounds_received_payload,total_client_rounds_received_payload,t_client_histogram_building,t_client_computing_gradients,t_client_initialise_private_histogram,t_client_forming_grad_histogram,t_client_retrieving_grads_for_node,t_server_initial_split_candidates,t_server_privacy_accountant_initialisation,t_server_init_model_weights,t_server_split_candidates,t_server_pre_tree_ops,t_server_post_tree ops,t_server_initialise_priv_hist,t_server_adding_noise_to_hist,t_server_sampling_features,t_server_calculating_internal_split,t_server_split_constraints,t_server_leaf_weight
2,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.1}",False,0.1,100,0.7830019357275607,0.7712273923952347,0.281890907255676,0.2761537540113278,0.9310115455884449,0.9318200715057786,0.22348484848484848,2.9664969444274902,0.9900990099009901,0.09900990099009901,0,1,100,0.009900990099009901,0.09900990099009897,0,1,1,253.46534653465346,25.346534653465348,0,256,25600,1.5841584158415842,15.841584158415843,0,160,160,0.0066225528717041016,0.26416015625,0.0,0.0,0.5923035144805908,0.027759790420532227,0,0.009662151336669922,0.0,0.03342866897583008,0.037938833236694336,0.0,0.0,0.009808778762817383,0.44020533561706543,0.009835958480834961,0.6937384605407715
4,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.1}",False,0.1,100,0.7851671858937809,0.7814892115147225,0.27234196239471775,0.26967305875922654,0.9295030170570627,0.9285219367534159,0.21059075604530153,3.471405506134033,0.9900990099009901,0.09900990099009901,0,1,100,0.009900990099009901,0.09900990099009897,0,1,1,253.46534653465346,25.346534653465348,0,256,25600,3.1683168316831685,31.683168316831686,0,320,320,0.0073812007904052734,0.3280646800994873,0.0,0.0,0.7930901050567627,0.02863931655883789,0,0.00998067855834961,0.0,0.04237008094787598,0.0523531436920166,0.0,0.0,0.012980937957763672,0.9173438549041748,0.013535022735595703,0.22314834594726562
8,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.1}",False,0.1,100,0.7886138796313934,0.7849597050103992,0.30182959859595465,0.3096310542631571,0.9308927638143203,0.9316814944153432,0.22264269946389156,2.979532480239868,0.9900990099009901,0.09900990099009901,0,1,100,0.009900990099009901,0.09900990099009897,0,1,1,253.46534653465346,25.346534653465348,0,256,25600,6.336633663366337,63.36633663366337,0,640,640,0.008324861526489258,0.2802309989929199,0.0,0.0,0.6542956829071045,0.02901315689086914,0,0.009917974472045898,0.0,0.034630775451660156,0.044646263122558594,0.0,0.0,0.010580301284790039,0.4304053783416748,0.010623693466186523,0.6239831447601318
16,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.1}",False,0.1,100,0.7653896069039423,0.7610490234182913,0.28987302292241535,0.2905214428222069,0.9316529671687176,0.9317646406696045,0.20836012861736333,3.248403549194336,0.9900990099009901,0.09900990099009901,0,1,100,0.009900990099009901,0.09900990099009897,0,1,1,253.46534653465346,25.346534653465348,0,256,25600,12.673267326732674,126.73267326732675,0,1280,1280,0.012451648712158203,0.3432793617248535,0.0,0.0,0.726940393447876,0.03863787651062012,0,0.015729665756225586,0.0,0.042476654052734375,0.05322074890136719,0.0,0.0,0.012279748916625977,0.4873998165130615,0.012070178985595703,0.5652437210083008
32,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.1}",False,0.1,100,0.7572130792862749,0.7533568366351068,0.26336451044577386,0.25835849997657145,0.9307383475079584,0.9306560239461212,0.03843197540353575,1.6460533142089844,0.9900990099009901,0.09900990099009901,0,1,100,0.009900990099009901,0.09900990099009897,0,1,1,253.46534653465346,25.346534653465348,0,256,25600,25.346534653465348,253.4653465346535,0,2560,2560,0.013200998306274414,0.17081022262573242,0.0,0.0,0.21167898178100586,0.04263448715209961,0,0.014331340789794922,0.0,0.017492294311523438,0.018750667572021484,0.0,0.0,0.004422664642333984,0.34197521209716797,0.00411677360534668,0.4308950901031494
64,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.1}",False,0.1,100,0.6658118545256333,0.6639965254611209,0.186654876815603,0.18384783146136735,0.9306076875564213,0.9306560239461212,0.02418096723868955,3.3300626277923584,0.9900990099009901,0.09900990099009901,0,1,100,0.009900990099009901,0.09900990099009897,0,1,1,253.46534653465346,25.346534653465348,0,256,25600,50.693069306930695,506.930693069307,0,5120,5120,0.01584029197692871,0.3300337791442871,0.0,0.0,0.7521960735321045,0.03582406044006348,0,0.021056175231933594,0.0,0.042443275451660156,0.056876182556152344,0.0,0.0,0.012983322143554688,0.8787760734558105,0.012562036514282227,0.20663022994995117
128,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.1}",False,0.1,100,0.7448770438771459,0.7374282906770913,0.2723621997315325,0.2700119513784055,0.9309283983465577,0.9310440397993404,0.053992395437262364,1.9015405178070068,0.9900990099009901,0.09900990099009901,0,1,100,0.009900990099009901,0.09900990099009897,0,1,1,253.46534653465346,25.346534653465348,0,256,25600,101.38613861386139,1013.861386138614,0,10240,10240,0.013582468032836914,0.18766355514526367,0.0,0.0,0.28579187393188477,0.02902531623840332,0,0.0099029541015625,0.0,0.020807743072509766,0.02183222770690918,0.0,0.0,0.004992246627807617,0.38916492462158203,0.004641294479370117,0.5156795978546143
2,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.25}",False,0.25,100,0.7947134431489407,0.7856731894722891,0.2947845845543514,0.30273674154287167,0.9304057585404095,0.9316814944153432,0.24594677271336804,2.9661011695861816,0.9900990099009901,0.09900990099009901,0,1,100,0.009900990099009901,0.09900990099009897,0,1,1,253.46534653465346,25.346534653465348,0,256,25600,1.5841584158415842,15.841584158415843,0,160,160,0.006804227828979492,0.2680346965789795,0.0,0.0,0.564690351486206,0.028848886489868164,0,0.009919881820678711,0.0,0.03148698806762695,0.038646697998046875,0.0,0.0,0.01051187515258789,0.4125497341156006,0.01063394546508789,0.7425501346588135
4,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.25}",False,0.25,100,0.7931815562324382,0.7873539601714236,0.2952140112095285,0.2943723677061362,0.9302038295243977,0.9298245614035088,0.2280487804878049,3.63662052154541,0.9900990099009901,0.09900990099009901,0,1,100,0.009900990099009901,0.09900990099009897,0,1,1,253.46534653465346,25.346534653465348,0,256,25600,3.1683168316831685,31.683168316831686,0,320,320,0.010607481002807617,0.33753347396850586,0.0,0.0,0.7948155403137207,0.029317378997802734,0,0.011195182800292969,0.0,0.04486489295959473,0.05288219451904297,0.0,0.0,0.01258230209350586,0.5157580375671387,0.012569189071655273,0.7691347599029541
8,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.25}",False,0.25,100,0.8022717653700064,0.7984851981378928,0.31561730246365094,0.32208580665782527,0.9313322563785813,0.9326515340483911,0.22165278667520819,3.555084705352783,0.9900990099009901,0.09900990099009901,0,1,100,0.009900990099009901,0.09900990099009897,0,1,1,253.46534653465346,25.346534653465348,0,256,25600,6.336633663366337,63.36633663366337,0,640,640,0.013928890228271484,0.3632941246032715,0.0,0.0,0.7287628650665283,0.03786754608154297,0,0.020074844360351562,0.0,0.03783249855041504,0.051915645599365234,0.0,0.0,0.013547420501708984,0.5068566799163818,0.01371622085571289,0.7502262592315674
