hist_bin,dataset,n,m,args,remove_categorical,epsilon,final_trees,train_auc,test_auc,train_pr,test_pr,train_acc,test_acc,f1_score,training_time,avg_client_rounds_sent,std_client_rounds_sent,min_client_rounds_sent,max_client_rounds_set,total_client_rounds_sent,avg_client_rounds_received,std_client_rounds_received,min_client_rounds_received,max_client_rounds_received,total_client_rounds_received,avg_client_rounds_sent_payload,std_client_rounds_sent_payload,min_client_rounds_sent_payload,max_client_rounds_sent_payload,total_client_rounds_sent_payload,avg_client_rounds_received_payload,std_client_rounds_received_payload,min_client_rounds_received_payload,max_client_rounds_received_payload,total_client_rounds_received_payload,t_client_histogram_building,t_client_computing_gradients,t_client_initialise_private_histogram,t_client_forming_grad_histogram,t_client_retrieving_grads_for_node,t_server_initial_split_candidates,t_server_privacy_accountant_initialisation,t_server_init_model_weights,t_server_split_candidates,t_server_pre_tree_ops,t_server_post_tree ops,t_server_initialise_priv_hist,t_server_adding_noise_to_hist,t_server_sampling_features,t_server_calculating_internal_split,t_server_split_constraints,t_server_leaf_weight
32,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'gradient_budgets': 'vector_mechanism', 'max_depth': 2, 'num_trees': 10, 'track_budget': False, 'verbose': False, 'weight_update_method': 'xgboost', 'epsilon': 0.1}",False,0.1,10,0.6494736843827963,0.6443911952115776,0.16765311343418376,0.16904288383981075,0.9306552002660712,0.9307391702003824,0.022682831443097382,0.4805314540863037,0.9090909090909091,0.28747978728803447,0,1,10,0.09090909090909091,0.2874797872880344,0,1,1,58.18181818181818,18.398706386434206,0,64,640,232.72727272727272,735.9482554573682,0,2560,2560,0.010731697082519531,0.01670217514038086,0.0,0.0,0.007934331893920898,0.027459383010864258,0,0.00842905044555664,0,0.0008273124694824219,0.0007150173187255859,0.0,0.0,0.0001933574676513672,0.3185291290283203,0.00015211105346679688,0.06949758529663086
32,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'gradient_budgets': 'vector_mechanism', 'max_depth': 2, 'num_trees': 10, 'track_budget': False, 'verbose': False, 'weight_update_method': 'xgboost', 'epsilon': 0.25}",False,0.25,10,0.6490220800812084,0.6451080300351129,0.1674700349880206,0.17020339220341954,0.9306552002660712,0.9307391702003824,0.022682831443097382,0.44420576095581055,0.9090909090909091,0.28747978728803447,0,1,10,0.09090909090909091,0.2874797872880344,0,1,1,58.18181818181818,18.398706386434206,0,64,640,232.72727272727272,735.9482554573682,0,2560,2560,0.010712146759033203,0.012375593185424805,0.0,0.0,0.006323337554931641,0.02749037742614746,0,0.008576631546020508,0,0.0006868839263916016,0.0005471706390380859,0.0,0.0,0.00011968612670898438,0.3030667304992676,0.00011014938354492188,0.05790114402770996
32,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'gradient_budgets': 'vector_mechanism', 'max_depth': 2, 'num_trees': 10, 'track_budget': False, 'verbose': False, 'weight_update_method': 'xgboost', 'epsilon': 0.5}",False,0.5,10,0.6491583163730781,0.645237256572762,0.16747974534468724,0.17021281512694264,0.9306552002660712,0.9307391702003824,0.022682831443097382,0.43864917755126953,0.9090909090909091,0.28747978728803447,0,1,10,0.09090909090909091,0.2874797872880344,0,1,1,58.18181818181818,18.398706386434206,0,64,640,232.72727272727272,735.9482554573682,0,2560,2560,0.010738849639892578,0.011540651321411133,0.0,0.0,0.0056416988372802734,0.027990102767944336,0,0.008241653442382812,0,0.0005044937133789062,0.0003294944763183594,0.0,0.0,9.918212890625e-05,0.30596423149108887,7.486343383789062e-05,0.05230975151062012
32,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'gradient_budgets': 'vector_mechanism', 'max_depth': 2, 'num_trees': 10, 'track_budget': False, 'verbose': False, 'weight_update_method': 'xgboost', 'epsilon': 0.75}",False,0.75,10,0.6500270545802728,0.6460388246560671,0.16775570569007298,0.17055070342919942,0.9306552002660712,0.9307391702003824,0.022682831443097382,0.5280184745788574,0.9090909090909091,0.28747978728803447,0,1,10,0.09090909090909091,0.2874797872880344,0,1,1,58.18181818181818,18.398706386434206,0,64,640,232.72727272727272,735.9482554573682,0,2560,2560,0.014185905456542969,0.01628899574279785,0.0,0.0,0.009350299835205078,0.04184865951538086,0,0.010915756225585938,0,0.0010409355163574219,0.0007958412170410156,0.0,0.0,0.0002219676971435547,0.3293023109436035,0.000179290771484375,0.08072757720947266
32,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'gradient_budgets': 'vector_mechanism', 'max_depth': 2, 'num_trees': 10, 'track_budget': False, 'verbose': False, 'weight_update_method': 'xgboost', 'epsilon': 1}",False,1.0,10,0.6504386394438476,0.6465762488015626,0.16772002550402376,0.17061903882678048,0.9306552002660712,0.9307391702003824,0.022682831443097382,0.4983677864074707,0.9090909090909091,0.28747978728803447,0,1,10,0.09090909090909091,0.2874797872880344,0,1,1,58.18181818181818,18.398706386434206,0,64,640,232.72727272727272,735.9482554573682,0,2560,2560,0.013093709945678711,0.015560150146484375,0.0,0.0,0.008508920669555664,0.04339289665222168,0,0.011909961700439453,0,0.0009315013885498047,0.0007407665252685547,0.0,0.0,0.0001888275146484375,0.3062012195587158,0.00015854835510253906,0.07714390754699707
32,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'partially_random', 'gradient_budgets': 'vector_mechanism', 'max_depth': 2, 'num_trees': 10, 'track_budget': False, 'verbose': False, 'weight_update_method': 'xgboost', 'epsilon': 0.1}",False,0.1,10,0.6669324904375582,0.6646173581666573,0.14268945383768242,0.14361173707263072,0.9306552002660712,0.9307391702003824,0.022682831443097382,0.6053926944732666,2.727272727272727,0.8624393618641034,0,3,30,0.09090909090909091,0.2874797872880344,0,1,1,13944.727272727272,4409.715494655143,0,15344,153392,232.72727272727272,735.9482554573682,0,2560,2560,0.014312744140625,0.01682281494140625,0.0,0.0,0.009788990020751953,0.03443169593811035,0,0.014414310455322266,0,0.0009970664978027344,0.0007982254028320312,0.0,0.0,0.0002269744873046875,0.410675048828125,0.00021910667419433594,0.08051252365112305
32,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'partially_random', 'gradient_budgets': 'vector_mechanism', 'max_depth': 2, 'num_trees': 10, 'track_budget': False, 'verbose': False, 'weight_update_method': 'xgboost', 'epsilon': 0.25}",False,0.25,10,0.6890820263189994,0.6867184464662939,0.1931509747350256,0.19639314014680354,0.9305126621371217,0.9305174468556858,0.0,0.5608587265014648,2.727272727272727,0.8624393618641034,0,3,30,0.09090909090909091,0.2874797872880344,0,1,1,13947.636363636364,4410.642815915473,0,15360,153424,232.72727272727272,735.9482554573682,0,2560,2560,0.011063575744628906,0.015470504760742188,0.0,0.0,0.009558916091918945,0.027991056442260742,0,0.00912332534790039,0,0.0009477138519287109,0.0006916522979736328,0.0,0.0,0.00019121170043945312,0.39494919776916504,0.00019621849060058594,0.06932759284973145
32,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'partially_random', 'gradient_budgets': 'vector_mechanism', 'max_depth': 2, 'num_trees': 10, 'track_budget': False, 'verbose': False, 'weight_update_method': 'xgboost', 'epsilon': 0.5}",False,0.5,10,0.6180687675344163,0.6187741637408227,0.1031030125508695,0.10863649595660857,0.9305126621371217,0.9305174468556858,0.0,0.5097970962524414,2.727272727272727,0.8624393618641034,0,3,30,0.09090909090909091,0.2874797872880344,0,1,1,13947.636363636364,4410.632262916246,0,15344,153424,232.72727272727272,735.9482554573682,0,2560,2560,0.01446676254272461,0.012678861618041992,0.0,0.0,0.007088899612426758,0.035904884338378906,0,0.014028072357177734,0,0.0008640289306640625,0.0005691051483154297,0.0,0.0,0.000110626220703125,0.35286498069763184,0.00011968612670898438,0.05309486389160156
32,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'partially_random', 'gradient_budgets': 'vector_mechanism', 'max_depth': 2, 'num_trees': 10, 'track_budget': False, 'verbose': False, 'weight_update_method': 'xgboost', 'epsilon': 0.75}",False,0.75,10,0.6481622393254042,0.6367169958309858,0.14827248058713238,0.14476604684949307,0.9306552002660712,0.9307114547822954,0.02190923317683881,0.6180436611175537,2.727272727272727,0.8624393618641034,0,3,30,0.09090909090909091,0.2874797872880344,0,1,1,13947.636363636364,4410.632262916246,0,15344,153424,232.72727272727272,735.9482554573682,0,2560,2560,0.010976314544677734,0.019082069396972656,0.0,0.0,0.011214256286621094,0.028719186782836914,0,0.008664369583129883,0,0.0010523796081542969,0.0009267330169677734,0.0,0.0,0.0002536773681640625,0.4251704216003418,0.0002548694610595703,0.08719563484191895
32,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'partially_random', 'gradient_budgets': 'vector_mechanism', 'max_depth': 2, 'num_trees': 10, 'track_budget': False, 'verbose': False, 'weight_update_method': 'xgboost', 'epsilon': 1}",False,1.0,10,0.7588600460899985,0.7556882784556372,0.28558194277774257,0.28111537573660117,0.9306552002660712,0.9307391702003824,0.022682831443097382,0.652634859085083,2.727272727272727,0.8624393618641034,0,3,30,0.09090909090909091,0.2874797872880344,0,1,1,13946.181818181818,4410.184696568982,0,15360,153408,232.72727272727272,735.9482554573682,0,2560,2560,0.014360427856445312,0.01946854591369629,0.0,0.0,0.012008905410766602,0.028685331344604492,0,0.01536703109741211,0,0.0014333724975585938,0.0010809898376464844,0.0,0.0,0.0002677440643310547,0.4443516731262207,0.00025844573974609375,0.08929705619812012
