hist_bin,dataset,n,m,args,remove_categorical,epsilon,final_trees,train_auc,test_auc,train_pr,test_pr,train_acc,test_acc,f1_score,training_time,avg_client_rounds_sent,std_client_rounds_sent,min_client_rounds_sent,max_client_rounds_set,total_client_rounds_sent,avg_client_rounds_received,std_client_rounds_received,min_client_rounds_received,max_client_rounds_received,total_client_rounds_received,avg_client_rounds_sent_payload,std_client_rounds_sent_payload,min_client_rounds_sent_payload,max_client_rounds_sent_payload,total_client_rounds_sent_payload,avg_client_rounds_received_payload,std_client_rounds_received_payload,min_client_rounds_received_payload,max_client_rounds_received_payload,total_client_rounds_received_payload,t_client_histogram_building,t_client_computing_gradients,t_client_initialise_private_histogram,t_client_forming_grad_histogram,t_client_retrieving_grads_for_node,t_server_initial_split_candidates,t_server_privacy_accountant_initialisation,t_server_init_model_weights,t_server_split_candidates,t_server_pre_tree_ops,t_server_post_tree ops,t_server_initialise_priv_hist,t_server_adding_noise_to_hist,t_server_sampling_features,t_server_calculating_internal_split,t_server_split_constraints,t_server_leaf_weight
2,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.1}",False,0.1,100,0.7657562964606801,0.7583507051168744,0.2809888861934861,0.2741494007103771,0.9295386515893002,0.9289376680247221,0.20961775585696674,1.8508820533752441,0.9900990099009901,0.09900990099009901,0,1,100,0.009900990099009901,0.09900990099009897,0,1,1,253.46534653465346,25.346534653465348,0,256,25600,1.5841584158415842,15.841584158415843,0,160,160,0.013786077499389648,0.06901216506958008,0.0,0.0,0.17500042915344238,0.03173398971557617,0,0.012053966522216797,0.0,0.01309347152709961,0.007717609405517578,0.0,0.0,0.008375406265258789,0.7082095146179199,0.01426839828491211,0.2809414863586426
4,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.1}",False,0.1,100,0.7653971536447475,0.7622284517035508,0.2549069012790043,0.2629793662973755,0.9281726611868675,0.9291316759513317,0.16191412651589643,1.7226319313049316,0.9900990099009901,0.09900990099009901,0,1,100,0.009900990099009901,0.09900990099009897,0,1,1,253.46534653465346,25.346534653465348,0,256,25600,3.1683168316831685,31.683168316831686,0,320,320,0.019299745559692383,0.06616854667663574,0.0,0.0,0.1488955020904541,0.029927968978881836,0,0.012059211730957031,0.0,0.010078668594360352,0.005610466003417969,0.0,0.0,0.007970094680786133,0.6889715194702148,0.008901596069335938,0.2456977367401123
8,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.1}",False,0.1,100,0.7824956691068923,0.7780949684482663,0.2916633051875357,0.29281511331315185,0.929847484202024,0.9304065851833375,0.21012897137464612,1.7487189769744873,0.9900990099009901,0.09900990099009901,0,1,100,0.009900990099009901,0.09900990099009897,0,1,1,253.46534653465346,25.346534653465348,0,256,25600,6.336633663366337,63.36633663366337,0,640,640,0.023852109909057617,0.0603024959564209,0.0,0.0,0.1383533477783203,0.029108285903930664,0,0.01199793815612793,0.0,0.010950565338134766,0.009185791015625,0.0,0.0,0.00809335708618164,0.7146737575531006,0.01000523567199707,0.2470531463623047
16,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.1}",False,0.1,100,0.7721352399518806,0.7663284864688992,0.2904258942707944,0.2861877348761285,0.9314985508623557,0.931598348161082,0.15072264280798348,1.8857648372650146,0.9900990099009901,0.09900990099009901,0,1,100,0.009900990099009901,0.09900990099009897,0,1,1,253.46534653465346,25.346534653465348,0,256,25600,12.673267326732674,126.73267326732675,0,1280,1280,0.026957988739013672,0.06600427627563477,0.0,0.0,0.1616504192352295,0.029428958892822266,0,0.01192784309387207,0.0,0.016782522201538086,0.007722139358520508,0.0,0.0,0.008657693862915039,0.7261171340942383,0.013627767562866211,0.3120582103729248
32,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.1}",False,0.1,100,0.7298506297388067,0.7273264453858143,0.21230674612576508,0.21576575027323458,0.9304532712500594,0.9305174468556858,0.07251202367739548,2.1555635929107666,0.9900990099009901,0.09900990099009901,0,1,100,0.009900990099009901,0.09900990099009897,0,1,1,253.46534653465346,25.346534653465348,0,256,25600,25.346534653465348,253.4653465346535,0,2560,2560,0.03315019607543945,0.07441353797912598,0.0,0.0,0.14661169052124023,0.02924489974975586,0,0.012215137481689453,0.0,0.008364200592041016,0.007288694381713867,0.0,0.0,0.007795810699462891,0.9321706295013428,0.010359048843383789,0.4566075801849365
64,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.1}",False,0.1,100,0.6817103345507186,0.6747850582614822,0.2065043728597335,0.1917535384217452,0.9305839312015964,0.9303511543471633,0.011797090051120724,1.91963529586792,0.9900990099009901,0.09900990099009901,0,1,100,0.009900990099009901,0.09900990099009897,0,1,1,253.46534653465346,25.346534653465348,0,256,25600,50.693069306930695,506.930693069307,0,5120,5120,0.03609800338745117,0.0656278133392334,0.0,0.0,0.14804506301879883,0.030772924423217773,0,0.012260913848876953,0.0,0.015111207962036133,0.0064961910247802734,0.0,0.0,0.008500814437866211,0.7765915393829346,0.008677005767822266,0.35570216178894043
128,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.1}",False,0.1,100,0.7045459037573976,0.7061377425391545,0.19963890975111898,0.2010073609229932,0.9302275858792227,0.9304620160195116,0.06205607476635514,2.0345399379730225,0.9900990099009901,0.09900990099009901,0,1,100,0.009900990099009901,0.09900990099009897,0,1,1,253.46534653465346,25.346534653465348,0,256,25600,101.38613861386139,1013.861386138614,0,10240,10240,0.04073905944824219,0.09892773628234863,0.0,0.0,0.16977739334106445,0.029400110244750977,0,0.011992931365966797,0.0,0.009037256240844727,0.006444215774536133,0.0,0.0,0.008728981018066406,0.8304684162139893,0.009530782699584961,0.3555924892425537
2,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.25}",False,0.25,100,0.7899662256891189,0.7854773952881893,0.2995132044169422,0.299458045254727,0.9315341853945931,0.9314320556525595,0.2126034373010821,2.042597770690918,0.9900990099009901,0.09900990099009901,0,1,100,0.009900990099009901,0.09900990099009897,0,1,1,253.46534653465346,25.346534653465348,0,256,25600,1.5841584158415842,15.841584158415843,0,160,160,0.016930818557739258,0.07115340232849121,0.0,0.0,0.16969704627990723,0.029478073120117188,0,0.01324319839477539,0.0,0.009269952774047852,0.008413314819335938,0.0,0.0,0.008064031600952148,0.734649658203125,0.01036214828491211,0.4740333557128906
4,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.25}",False,0.25,100,0.7823841612927369,0.7744709107701511,0.29119598512102707,0.2911962355630039,0.9298593623794364,0.9309331781269921,0.21733668341708542,2.0538558959960938,0.9900990099009901,0.09900990099009901,0,1,100,0.009900990099009901,0.09900990099009897,0,1,1,253.46534653465346,25.346534653465348,0,256,25600,3.1683168316831685,31.683168316831686,0,320,320,0.019070863723754883,0.06952095031738281,0.0,0.0,0.1621565818786621,0.0294802188873291,0,0.012057065963745117,0.0,0.010274171829223633,0.006455659866333008,0.0,0.0,0.008502960205078125,0.7932229042053223,0.00967264175415039,0.4286215305328369
8,Credit 1_1,84188,10,"{'dp_method': 'gaussian_cdp', 'split_method': 'totally_random', 'max_depth': 4, 'num_trees': 100, 'verbose': False, 'track_budget': False, 'sketch_type': 'uniform', 'epsilon': 0.25}",False,0.25,100,0.7959220792738371,0.7907614502351656,0.30700167271945084,0.30917869487067406,0.9313322563785813,0.9320140794323882,0.21352997755690928,2.112969160079956,0.9900990099009901,0.09900990099009901,0,1,100,0.009900990099009901,0.09900990099009897,0,1,1,253.46534653465346,25.346534653465348,0,256,25600,6.336633663366337,63.36633663366337,0,640,640,0.027249813079833984,0.07851195335388184,0.0,0.0,0.16533875465393066,0.04086494445800781,0,0.012026786804199219,0.0,0.012263298034667969,0.006615161895751953,0.0,0.0,0.009267807006835938,0.7961325645446777,0.010515451431274414,0.4601099491119385
